stamp,open,high,low,close,buyvolume,sellvolume,volume
2014-05-23 12:13:30,1292.255,1292.255,1292.1475,1292.1925,6.0,12.0,30.0
2014-05-23 12:13:40,1292.1925,1292.1925,1291.975,1291.975,10.0,34.0,78.0
2014-05-23 12:13:50,1291.975,1291.975,1291.9450000000002,1291.9450000000002,2.0,1.0,4.0
2014-05-23 12:14:00,1291.9450000000002,1291.975,1291.855,1291.855,31.0,22.0,75.0
2014-05-23 12:14:10,1291.855,1291.955,1291.845,1291.845,813.0,813.0,2439.0
2014-05-23 12:14:20,1291.845,1291.845,1291.665,1291.685,1285.0,1311.0,3907.0
2014-05-23 12:14:30,1291.685,1291.685,1291.585,1291.585,51.0,62.0,175.0
2014-05-23 12:14:40,1291.585,1291.745,1291.585,1291.745,9.0,1.0,11.0
2014-05-23 12:14:50,1291.745,1291.745,1291.714,1291.714,4.0,0.0,4.0
2014-05-23 12:15:00,1291.714,1291.754,1291.6100000000001,1291.685,1.0,4.0,9.0
2014-05-23 12:15:10,1291.685,1291.685,1291.6129999999998,1291.621,4.0,2.0,8.0
2014-05-23 12:15:20,1291.621,1291.6975,1291.558,1291.6975,3.0,10.0,23.0
2014-05-23 12:15:30,1291.6975,1291.6975,1291.5230000000001,1291.6235000000001,16.0,11.0,38.0
2014-05-23 12:15:40,1291.6235000000001,1291.6235000000001,1291.5210000000002,1291.5320000000002,0.0,0.0,0.0
2014-05-23 12:15:50,1291.5320000000002,1291.547,1291.524,1291.524,3.0,2.0,7.0
2014-05-23 12:16:00,1291.524,1291.5369999999998,1291.513,1291.5140000000001,1.0,0.0,1.0
2014-05-23 12:16:10,1291.5140000000001,1291.54,1291.5140000000001,1291.54,3.0,0.0,3.0
2014-05-23 12:16:20,1291.54,1291.695,1291.54,1291.657,24.0,3.0,30.0
2014-05-23 12:16:30,1291.657,1291.6680000000001,1291.657,1291.658,0.0,0.0,0.0
2014-05-23 12:16:40,1291.658,1291.658,1291.333,1291.551,51.0,70.0,191.0
2014-05-23 12:16:50,1291.551,1291.56,1291.51,1291.5520000000001,2.0,7.0,16.0
2014-05-23 12:17:00,1291.5520000000001,1291.5839999999998,1291.466,1291.562,7.0,1.0,9.0
2014-05-23 12:17:10,1291.562,1291.656,1291.446,1291.4470000000001,6.0,6.0,18.0
2014-05-23 12:17:20,1291.4470000000001,1291.4630000000002,1291.4470000000001,1291.4630000000002,0.0,5.0,10.0
2014-05-23 12:17:30,1291.4630000000002,1291.54,1291.3270000000002,1291.3400000000001,6.0,8.0,22.0
2014-05-23 12:17:40,1291.3400000000001,1291.3899999999999,1291.319,1291.3899999999999,3.0,0.0,3.0
2014-05-23 12:17:50,1291.3899999999999,1291.44,1291.3899999999999,1291.44,0.0,2.0,4.0
2014-05-23 12:18:00,1291.44,1291.44,1291.3470000000002,1291.38,2.0,6.0,14.0
2014-05-23 12:18:10,1291.38,1291.3899999999999,1291.3609999999999,1291.382,2.0,5.0,12.0
2014-05-23 12:18:20,1291.382,1291.4009999999998,1291.324,1291.3400000000001,0.0,2.0,4.0
2014-05-23 12:18:30,1291.3400000000001,1291.4085,1291.2400000000002,1291.37,60.0,62.0,184.0
2014-05-23 12:18:40,1291.37,1291.44,1291.37,1291.3899999999999,0.0,5.0,10.0
