stamp,open,high,low,close
2019-12-12 12:00:30,1474.7565,1474.935,1474.7565,1474.8600000000001
2019-12-12 12:01:00,1474.8600000000001,1474.8650000000002,1474.7800000000002,1474.7815
2019-12-12 12:01:30,1474.7815,1474.7865000000002,1474.7115,1474.725
2019-12-12 12:02:00,1474.725,1474.7350000000001,1474.67,1474.67
2019-12-12 12:02:30,1474.67,1474.6765,1474.67,1474.6765
2019-12-12 12:03:00,1474.6765,1474.6765,1474.63,1474.645
2019-12-12 12:03:30,1474.645,1474.875,1474.645,1474.855
2019-12-12 12:04:00,1474.855,1474.8915000000002,1474.8065000000001,1474.8249999999998
2019-12-12 12:04:30,1474.8249999999998,1474.9285,1474.8065000000001,1474.8965
2019-12-12 12:05:00,1474.8965,1474.8965,1474.7935,1474.795
2019-12-12 12:05:30,1474.795,1474.8065000000001,1474.7635,1474.79
2019-12-12 12:06:00,1474.79,1474.8,1474.7015000000001,1474.7115
2019-12-12 12:06:30,1474.7115,1474.7115,1474.6065,1474.7065
2019-12-12 12:07:00,1474.7065,1474.77,1474.69,1474.69
2019-12-12 12:07:30,1474.69,1474.855,1474.69,1474.815
2019-12-12 12:08:00,1474.815,1474.8600000000001,1474.7685000000001,1474.7685000000001
2019-12-12 12:08:30,1474.7685000000001,1474.845,1474.7165,1474.8335
2019-12-12 12:09:00,1474.8335,1474.8335,1474.7735,1474.8035
2019-12-12 12:09:30,1474.8035,1474.8085,1474.7385,1474.8049999999998
2019-12-12 12:10:00,1474.8049999999998,1474.8650000000002,1474.7984999999999,1474.8585
2019-12-12 12:10:30,1474.8585,1474.8600000000001,1474.8035,1474.8085
2019-12-12 12:11:00,1474.8085,1474.8735000000001,1474.8085,1474.8735000000001
2019-12-12 12:11:30,1474.8735000000001,1474.8735000000001,1474.6785,1474.73
2019-12-12 12:12:00,1474.73,1474.81,1474.7135,1474.8049999999998
2019-12-12 12:12:30,1474.8049999999998,1475.0,1474.8049999999998,1474.94
2019-12-12 12:13:00,1474.94,1474.9685,1474.72,1474.72
